[05/06/2023 08:52:39.396]	 INFO 	[app.namespaces.components.post:33]	 Creating the components
[05/06/2023 08:52:39.407]	 INFO 	[app.namespaces.components.post:47]	 Successfully created  the components <components test>
[05/06/2023 08:52:39.408]	 INFO 	[app.namespaces.components.put:61]	 Initializing request to update the one component with the id 1
[05/06/2023 08:52:39.418]	 INFO 	[app.namespaces.components.put:74]	 Component test2 was updated
[05/06/2023 08:52:39.420]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:52:39.428]	 INFO 	[app.namespaces.devices.post:52]	 Initializing post devices
[05/06/2023 08:52:39.432]	 INFO 	[app.namespaces.devices.delete:155]	 Initializing request to dele a device 1
[05/06/2023 08:52:39.436]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:52:39.445]	 INFO 	[app.namespaces.devices.get:44]	 Requesting all the devices
[05/06/2023 08:52:39.448]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:52:39.457]	 INFO 	[app.namespaces.devices.get:102]	 Requesting option to get a device was iniazilizing
[05/06/2023 08:52:39.460]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:52:39.469]	 INFO 	[app.namespaces.devices.post:52]	 Initializing post devices
[05/06/2023 08:52:39.478]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:52:39.504]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:52:39.526]	 INFO 	[app.namespaces.devices.post:52]	 Initializing post devices
[05/06/2023 08:52:39.530]	 INFO 	[app.namespaces.devices.put:114]	 Initialzing put for new device
[05/06/2023 08:54:26.110]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:54:26.144]	 INFO 	[app.namespaces.components.post:33]	 Creating the components
[05/06/2023 08:54:26.163]	 INFO 	[app.namespaces.components.post:47]	 Successfully created  the components <components test>
[05/06/2023 08:54:26.178]	 INFO 	[app.namespaces.components.delete:81]	 Component <components test> was deleted
[05/06/2023 08:54:26.181]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:54:26.198]	 INFO 	[app.namespaces.components.get:26]	 Requesting all the components
[05/06/2023 08:54:26.201]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:54:26.210]	 INFO 	[app.namespaces.components.get:55]	 Initializing request to get one component
[05/06/2023 08:54:26.212]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:54:26.222]	 INFO 	[app.namespaces.components.post:33]	 Creating the components
[05/06/2023 08:54:26.237]	 INFO 	[app.namespaces.components.post:47]	 Successfully created  the components <components test>
[05/06/2023 08:54:26.238]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:54:26.269]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:54:26.298]	 INFO 	[app.namespaces.components.post:33]	 Creating the components
[05/06/2023 08:54:26.310]	 INFO 	[app.namespaces.components.post:47]	 Successfully created  the components <components test>
[05/06/2023 08:54:26.311]	 INFO 	[app.namespaces.components.put:61]	 Initializing request to update the one component with the id 1
[05/06/2023 08:54:26.327]	 INFO 	[app.namespaces.components.put:74]	 Component test2 was updated
[05/06/2023 08:54:26.332]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:54:26.343]	 INFO 	[app.namespaces.devices.post:52]	 Initializing post devices
[05/06/2023 08:54:26.347]	 INFO 	[app.namespaces.devices.delete:155]	 Initializing request to dele a device 1
[05/06/2023 08:54:26.351]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:54:26.359]	 INFO 	[app.namespaces.devices.get:44]	 Requesting all the devices
[05/06/2023 08:54:26.362]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:54:26.370]	 INFO 	[app.namespaces.devices.get:102]	 Requesting option to get a device was iniazilizing
[05/06/2023 08:54:26.374]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:54:26.382]	 INFO 	[app.namespaces.devices.post:52]	 Initializing post devices
[05/06/2023 08:54:26.392]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:54:26.424]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:54:26.454]	 INFO 	[app.namespaces.devices.post:52]	 Initializing post devices
[05/06/2023 08:54:26.459]	 INFO 	[app.namespaces.devices.put:114]	 Initialzing put for new device
[05/06/2023 08:54:48.346]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:54:48.380]	 INFO 	[app.namespaces.components.post:33]	 Creating the components
[05/06/2023 08:54:48.402]	 INFO 	[app.namespaces.components.post:47]	 Successfully created  the components <components test>
[05/06/2023 08:54:48.417]	 INFO 	[app.namespaces.components.delete:81]	 Component <components test> was deleted
[05/06/2023 08:54:48.421]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:54:48.434]	 INFO 	[app.namespaces.components.get:26]	 Requesting all the components
[05/06/2023 08:54:48.437]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:54:48.447]	 INFO 	[app.namespaces.components.get:55]	 Initializing request to get one component
[05/06/2023 08:54:48.450]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:54:48.457]	 INFO 	[app.namespaces.components.post:33]	 Creating the components
[05/06/2023 08:54:48.470]	 INFO 	[app.namespaces.components.post:47]	 Successfully created  the components <components test>
[05/06/2023 08:54:48.473]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:54:48.501]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:54:48.532]	 INFO 	[app.namespaces.components.post:33]	 Creating the components
[05/06/2023 08:54:48.548]	 INFO 	[app.namespaces.components.post:47]	 Successfully created  the components <components test>
[05/06/2023 08:54:48.549]	 INFO 	[app.namespaces.components.put:61]	 Initializing request to update the one component with the id 1
[05/06/2023 08:54:48.561]	 INFO 	[app.namespaces.components.put:74]	 Component test2 was updated
[05/06/2023 08:54:48.565]	 INFO 	[main.create_app:22]	 Initializing the app
[05/06/2023 08:54:48.576]	 INFO 	[app.namespaces.devices.post:52]	 Initializing post devices
[05/06/2023 08:54:48.581]	 INFO 	[app.namespaces.devices.delete:155]	 Initializing request to dele a device 1
